h1,h2,s1,s2,suite
1,1,1,2,o
1,1,1,3,o
1,1,1,4,o
1,1,2,3,o
1,1,2,4,o
1,1,3,4,o
1,2,1,1,s
1,2,1,2,o
1,2,1,3,o
1,2,1,4,o
1,2,2,2,s
1,2,2,3,o
1,2,2,4,o
1,2,3,3,s
1,2,3,4,o
1,2,4,4,s
1,3,1,1,s
1,3,1,2,o
1,3,1,3,o
1,3,1,4,o
1,3,2,2,s
1,3,2,3,o
1,3,2,4,o
1,3,3,3,s
1,3,3,4,o
1,3,4,4,s
1,4,1,1,s
1,4,1,2,o
1,4,1,3,o
1,4,1,4,o
1,4,2,2,s
1,4,2,3,o
1,4,2,4,o
1,4,3,3,s
1,4,3,4,o
1,4,4,4,s
1,5,1,1,s
1,5,1,2,o
1,5,1,3,o
1,5,1,4,o
1,5,2,2,s
1,5,2,3,o
1,5,2,4,o
1,5,3,3,s
1,5,3,4,o
1,5,4,4,s
1,6,1,1,s
1,6,1,2,o
1,6,1,3,o
1,6,1,4,o
1,6,2,2,s
1,6,2,3,o
1,6,2,4,o
1,6,3,3,s
1,6,3,4,o
1,6,4,4,s
1,7,1,1,s
1,7,1,2,o
1,7,1,3,o
1,7,1,4,o
1,7,2,2,s
1,7,2,3,o
1,7,2,4,o
1,7,3,3,s
1,7,3,4,o
1,7,4,4,s
1,8,1,1,s
1,8,1,2,o
1,8,1,3,o
1,8,1,4,o
1,8,2,2,s
1,8,2,3,o
1,8,2,4,o
1,8,3,3,s
1,8,3,4,o
1,8,4,4,s
1,9,1,1,s
1,9,1,2,o
1,9,1,3,o
1,9,1,4,o
1,9,2,2,s
1,9,2,3,o
1,9,2,4,o
1,9,3,3,s
1,9,3,4,o
1,9,4,4,s
1,10,1,1,s
1,10,1,2,o
1,10,1,3,o
1,10,1,4,o
1,10,2,2,s
1,10,2,3,o
1,10,2,4,o
1,10,3,3,s
1,10,3,4,o
1,10,4,4,s
1,11,1,1,s
1,11,1,2,o
1,11,1,3,o
1,11,1,4,o
1,11,2,2,s
1,11,2,3,o
1,11,2,4,o
1,11,3,3,s
1,11,3,4,o
1,11,4,4,s
1,12,1,1,s
1,12,1,2,o
1,12,1,3,o
1,12,1,4,o
1,12,2,2,s
1,12,2,3,o
1,12,2,4,o
1,12,3,3,s
1,12,3,4,o
1,12,4,4,s
1,13,1,1,s
1,13,1,2,o
1,13,1,3,o
1,13,1,4,o
1,13,2,2,s
1,13,2,3,o
1,13,2,4,o
1,13,3,3,s
1,13,3,4,o
1,13,4,4,s
2,2,1,2,o
2,2,1,3,o
2,2,1,4,o
2,2,2,3,o
2,2,2,4,o
2,2,3,4,o
2,3,1,1,s
2,3,1,2,o
2,3,1,3,o
2,3,1,4,o
2,3,2,2,s
2,3,2,3,o
2,3,2,4,o
2,3,3,3,s
2,3,3,4,o
2,3,4,4,s
2,4,1,1,s
2,4,1,2,o
2,4,1,3,o
2,4,1,4,o
2,4,2,2,s
2,4,2,3,o
2,4,2,4,o
2,4,3,3,s
2,4,3,4,o
2,4,4,4,s
2,5,1,1,s
2,5,1,2,o
2,5,1,3,o
2,5,1,4,o
2,5,2,2,s
2,5,2,3,o
2,5,2,4,o
2,5,3,3,s
2,5,3,4,o
2,5,4,4,s
2,6,1,1,s
2,6,1,2,o
2,6,1,3,o
2,6,1,4,o
2,6,2,2,s
2,6,2,3,o
2,6,2,4,o
2,6,3,3,s
2,6,3,4,o
2,6,4,4,s
2,7,1,1,s
2,7,1,2,o
2,7,1,3,o
2,7,1,4,o
2,7,2,2,s
2,7,2,3,o
2,7,2,4,o
2,7,3,3,s
2,7,3,4,o
2,7,4,4,s
2,8,1,1,s
2,8,1,2,o
2,8,1,3,o
2,8,1,4,o
2,8,2,2,s
2,8,2,3,o
2,8,2,4,o
2,8,3,3,s
2,8,3,4,o
2,8,4,4,s
2,9,1,1,s
2,9,1,2,o
2,9,1,3,o
2,9,1,4,o
2,9,2,2,s
2,9,2,3,o
2,9,2,4,o
2,9,3,3,s
2,9,3,4,o
2,9,4,4,s
2,10,1,1,s
2,10,1,2,o
2,10,1,3,o
2,10,1,4,o
2,10,2,2,s
2,10,2,3,o
2,10,2,4,o
2,10,3,3,s
2,10,3,4,o
2,10,4,4,s
2,11,1,1,s
2,11,1,2,o
2,11,1,3,o
2,11,1,4,o
2,11,2,2,s
2,11,2,3,o
2,11,2,4,o
2,11,3,3,s
2,11,3,4,o
2,11,4,4,s
2,12,1,1,s
2,12,1,2,o
2,12,1,3,o
2,12,1,4,o
2,12,2,2,s
2,12,2,3,o
2,12,2,4,o
2,12,3,3,s
2,12,3,4,o
2,12,4,4,s
2,13,1,1,s
2,13,1,2,o
2,13,1,3,o
2,13,1,4,o
2,13,2,2,s
2,13,2,3,o
2,13,2,4,o
2,13,3,3,s
2,13,3,4,o
2,13,4,4,s
3,3,1,2,o
3,3,1,3,o
3,3,1,4,o
3,3,2,3,o
3,3,2,4,o
3,3,3,4,o
3,4,1,1,s
3,4,1,2,o
3,4,1,3,o
3,4,1,4,o
3,4,2,2,s
3,4,2,3,o
3,4,2,4,o
3,4,3,3,s
3,4,3,4,o
3,4,4,4,s
3,5,1,1,s
3,5,1,2,o
3,5,1,3,o
3,5,1,4,o
3,5,2,2,s
3,5,2,3,o
3,5,2,4,o
3,5,3,3,s
3,5,3,4,o
3,5,4,4,s
3,6,1,1,s
3,6,1,2,o
3,6,1,3,o
3,6,1,4,o
3,6,2,2,s
3,6,2,3,o
3,6,2,4,o
3,6,3,3,s
3,6,3,4,o
3,6,4,4,s
3,7,1,1,s
3,7,1,2,o
3,7,1,3,o
3,7,1,4,o
3,7,2,2,s
3,7,2,3,o
3,7,2,4,o
3,7,3,3,s
3,7,3,4,o
3,7,4,4,s
3,8,1,1,s
3,8,1,2,o
3,8,1,3,o
3,8,1,4,o
3,8,2,2,s
3,8,2,3,o
3,8,2,4,o
3,8,3,3,s
3,8,3,4,o
3,8,4,4,s
3,9,1,1,s
3,9,1,2,o
3,9,1,3,o
3,9,1,4,o
3,9,2,2,s
3,9,2,3,o
3,9,2,4,o
3,9,3,3,s
3,9,3,4,o
3,9,4,4,s
3,10,1,1,s
3,10,1,2,o
3,10,1,3,o
3,10,1,4,o
3,10,2,2,s
3,10,2,3,o
3,10,2,4,o
3,10,3,3,s
3,10,3,4,o
3,10,4,4,s
3,11,1,1,s
3,11,1,2,o
3,11,1,3,o
3,11,1,4,o
3,11,2,2,s
3,11,2,3,o
3,11,2,4,o
3,11,3,3,s
3,11,3,4,o
3,11,4,4,s
3,12,1,1,s
3,12,1,2,o
3,12,1,3,o
3,12,1,4,o
3,12,2,2,s
3,12,2,3,o
3,12,2,4,o
3,12,3,3,s
3,12,3,4,o
3,12,4,4,s
3,13,1,1,s
3,13,1,2,o
3,13,1,3,o
3,13,1,4,o
3,13,2,2,s
3,13,2,3,o
3,13,2,4,o
3,13,3,3,s
3,13,3,4,o
3,13,4,4,s
4,4,1,2,o
4,4,1,3,o
4,4,1,4,o
4,4,2,3,o
4,4,2,4,o
4,4,3,4,o
4,5,1,1,s
4,5,1,2,o
4,5,1,3,o
4,5,1,4,o
4,5,2,2,s
4,5,2,3,o
4,5,2,4,o
4,5,3,3,s
4,5,3,4,o
4,5,4,4,s
4,6,1,1,s
4,6,1,2,o
4,6,1,3,o
4,6,1,4,o
4,6,2,2,s
4,6,2,3,o
4,6,2,4,o
4,6,3,3,s
4,6,3,4,o
4,6,4,4,s
4,7,1,1,s
4,7,1,2,o
4,7,1,3,o
4,7,1,4,o
4,7,2,2,s
4,7,2,3,o
4,7,2,4,o
4,7,3,3,s
4,7,3,4,o
4,7,4,4,s
4,8,1,1,s
4,8,1,2,o
4,8,1,3,o
4,8,1,4,o
4,8,2,2,s
4,8,2,3,o
4,8,2,4,o
